gps_violation,gps_spoof_detected,delivery_activity_detected,duplicate_claim,new_registration_fraud,abnormal_claim_freq,n_fraud_signals,payout_premium_ratio,earnings_normalized,disruption_severity,rainfall_normalized,aqi_normalized,platforms_norm,fraud_risk_score,is_fraud_ground_truth,claim_status,claim_id,split
-0.19287838795173526,-0.15774106796205728,-0.19426724256671227,-0.12081829461733963,-0.06254386625095103,-0.11910430064043327,-0.24465188521885262,-1.1676322060123976,0.20390578180683627,-1.1028790632488747,0.5691412751018708,-0.8303453797886594,0.26030662495961493,-0.5046446571747619,0,Auto_Approved,C0000001,train
-0.19287838795173526,-0.15774106796205728,-0.19426724256671227,-0.12081829461733963,-0.06254386625095103,-0.11910430064043327,-0.24465188521885262,-0.2623104290031978,0.20390578180683627,-0.557204847669746,2.3217329211443265,-1.2779372134637836,0.26030662495961493,-0.340020063375865,0,Auto_Approved,C0000002,test
-0.19287838795173526,-0.15774106796205728,-0.19426724256671227,-0.12081829461733963,-0.06254386625095103,-0.11910430064043327,-0.24465188521885262,-1.4443971643402995,0.20390578180683627,-1.1028790632488747,1.9103264314629989,-1.1697463039742138,0.26030662495961493,-0.13222724275859069,0,Auto_Approved,C0000003,test
-0.19287838795173526,-0.15774106796205728,-0.19426724256671227,-0.12081829461733963,-0.06254386625095103,-0.11910430064043327,-0.24465188521885262,0.8718689487338763,-0.7340251062732135,-0.557204847669746,-0.829640789814643,-0.40142608886808007,-0.854068485913261,-0.1519821940144583,0,Auto_Approved,C0000004,train
-0.19287838795173526,-0.15774106796205728,-0.19426724256671227,-0.12081829461733963,-0.06254386625095103,-0.11910430064043327,-0.24465188521885262,0.8851629521830644,-0.3275463519869585,-0.557204847669746,-0.829640789814643,-0.40142608886808007,2.489056846705367,-0.24783029084848274,0,Auto_Approved,C0000005,test
-0.19287838795173526,-0.15774106796205728,-0.19426724256671227,-0.12081829461733963,-0.06254386625095103,-0.11910430064043327,-0.24465188521885262,3.818545155416969,-0.3275463519869585,1.6254920146467688,-0.829640789814643,-1.0269562711453397,2.489056846705367,-0.08613235649489953,0,Auto_Approved,C0000006,test
-0.19287838795173526,-0.15774106796205728,-0.19426724256671227,-0.12081829461733963,-0.06254386625095103,-0.11910430064043327,-0.24465188521885262,2.287008732922272,-0.36180368654116957,1.3526549068572047,-0.829640789814643,-0.5107153832255644,0.26030662495961493,-0.00711255147142904,0,Auto_Approved,C0000007,train
-0.19287838795173526,-0.15774106796205728,-0.19426724256671227,-0.12081829461733963,-0.06254386625095103,-0.11910430064043327,-0.24465188521885262,-1.0742583439608646,-0.36180368654116957,-1.1028790632488747,1.9103264314629989,-1.1697463039742138,0.26030662495961493,-0.27709688530161997,0,Auto_Approved,C0000008,train
-0.19287838795173526,-0.15774106796205728,-0.19426724256671227,-0.12081829461733963,-0.06254386625095103,-0.11910430064043327,-0.24465188521885262,-1.4174428034833912,0.5669402078989964,-0.557204847669746,-0.829640789814643,0.5865710998209367,0.26030662495961493,-0.31221679864538465,0,Auto_Approved,C0000009,train
-0.19287838795173526,-0.15774106796205728,-0.19426724256671227,-0.12081829461733963,-0.06254386625095103,-0.11910430064043327,-0.24465188521885262,-0.7877064952539574,-0.2834273440952201,-0.557204847669746,0.9838390167006493,-1.3059460275956014,-0.854068485913261,-0.07662071329762991,0,Auto_Approved,C0000010,test
-0.19287838795173526,-0.15774106796205728,-0.19426724256671227,-0.12081829461733963,-0.06254386625095103,-0.11910430064043327,-0.24465188521885262,-1.530067495000999,1.8842933027644504,-1.1028790632488747,0.5691412751018708,-0.8303453797886594,-0.854068485913261,-0.09710732941482601,0,Auto_Approved,C0000011,test
-0.19287838795173526,-0.15774106796205728,-0.19426724256671227,-0.12081829461733963,-0.06254386625095103,-0.11910430064043327,-0.24465188521885262,-0.7187289235189922,1.9665979204593005,-0.557204847669746,1.8198170037331072,-0.4739194901504316,1.3746817358324905,-0.5273262678759433,0,Auto_Approved,C0000012,train
-0.19287838795173526,-0.15774106796205728,-0.19426724256671227,-0.12081829461733963,-0.06254386625095103,-0.11910430064043327,-0.24465188521885262,0.44515108898659095,-0.681185705653981,-0.557204847669746,1.8198170037331072,-0.4739194901504316,-0.854068485913261,-0.4863530356415512,0,Auto_Approved,C0000013,train
-0.19287838795173526,-0.15774106796205728,-0.19426724256671227,-0.12081829461733963,-0.06254386625095103,-0.11910430064043327,-0.24465188521885262,0.19254927836314198,0.03268846863086546,1.3526549068572047,-0.829640789814643,-0.5107153832255644,-0.854068485913261,-0.4790363870282669,0,Auto_Approved,C0000014,train
-0.19287838795173526,-0.15774106796205728,-0.19426724256671227,-0.12081829461733963,-0.06254386625095103,-0.11910430064043327,-0.24465188521885262,-1.4740003743610435,0.03268846863086546,-1.1028790632488747,0.5691412751018708,-0.8303453797886594,-0.854068485913261,-0.13295890761991913,1,Auto_Approved,C0000015,train
