max_rainfall,max_aqi,max_temp,curfew_any,flood_any,avg_zone_risk,avg_rain_forecast,avg_aqi_forecast,n_active_policies,is_monsoon,is_winter,exposure_score,week_of_year,loss_ratio,city,week_number
0.0,258.7,25.2,1,0,0.3193973747016706,0.113672553699284,250.43389021479715,419.0,0,1,0.30522,1,3.2417342690549167,Ahmedabad,1
0.0,219.9,19.7,0,0,0.31912763157894736,0.11825289473684211,254.81631578947366,380.0,0,1,0.13194,2,0.0,Ahmedabad,2
0.0,264.9,26.1,0,0,0.3193841359773371,0.11625835694050991,249.6546742209632,353.0,0,1,0.15893999999999997,3,0.0,Ahmedabad,3
0.0,252.7,18.3,0,0,0.3194047058823529,0.11484970588235295,250.09911764705882,340.0,0,1,0.15161999999999998,4,0.0,Ahmedabad,4
0.0,200.2,24.0,0,0,0.3198716049382716,0.11741882716049383,253.44691358024693,324.0,0,1,0.12011999999999999,5,0.0,Ahmedabad,5
0.0,258.5,23.6,0,0,0.31961362126245846,0.11668372093023256,253.27408637873754,301.0,0,1,0.1551,6,0.0,Ahmedabad,6
0.0,254.3,19.1,0,0,0.31899081272084806,0.11622826855123676,253.8696113074205,283.0,0,1,0.15258000000000002,7,0.0,Ahmedabad,7
0.0,281.0,21.4,0,0,0.318083908045977,0.11305325670498086,253.43371647509576,261.0,0,1,0.1686,8,0.0,Ahmedabad,8
0.0,271.0,20.9,0,0,0.31710125,0.11929666666666666,252.65833333333333,240.0,0,1,0.1626,9,0.0,Ahmedabad,9
0.0,135.0,26.2,0,0,0.3173789237668161,0.11019596412556053,109.61165919282512,223.0,0,0,0.081,10,0.0,Ahmedabad,10
0.0,118.5,21.5,0,0,0.31735213270142176,0.11147061611374406,113.27677725118484,211.0,0,0,0.0711,11,0.0,Ahmedabad,11
0.0,169.7,21.5,0,0,0.31806192893401014,0.11286395939086295,111.80507614213197,197.0,0,0,0.10182,12,0.0,Ahmedabad,12
0.0,196.5,24.6,0,0,0.31826858638743455,0.11689267015706806,111.57696335078535,191.0,0,0,0.1179,13,0.0,Ahmedabad,13
0.0,147.4,23.2,0,0,0.3179531073446328,0.1137774011299435,111.92994350282486,177.0,0,0,0.08844,14,0.0,Ahmedabad,14
0.0,172.2,26.1,0,0,0.3187131736526946,0.12041437125748504,108.55928143712576,167.0,0,0,0.10332,15,0.0,Ahmedabad,15
0.0,138.3,26.3,0,0,0.3185006211180124,0.11519192546583851,110.88136645962734,161.0,0,0,0.08298,16,0.0,Ahmedabad,16
0.0,141.6,24.7,0,0,0.31828366013071896,0.11251437908496732,115.10392156862746,153.0,0,0,0.08496,17,0.0,Ahmedabad,17
0.0,204.4,26.8,0,0,0.3185779310344828,0.10720965517241379,111.36689655172414,145.0,0,0,0.12264,18,0.0,Ahmedabad,18
